OBJECTID,GlobalID,Zoning,Conditional,Reference,Overlays,Supplemental,last_edited_date,SHAPESTArea,SHAPESTLength
5708,332673B2-E318-4589-ADEE-E94B0E2BACEF,R20,,,,,2024-04-15 18:59:18+00:00,343710.24250682,9474.54990912556
5709,1042DA35-E59C-4C80-B0B8-32B813841114,R20,,,,,2024-04-15 18:59:18+00:00,371506.66021554,12006.1320936852
5710,27F09240-67B9-4656-B811-2074DEC78525,R2.5,,,,,2024-04-15 18:59:18+00:00,43948.377988415,978.200301625174
5711,7930224B-4839-4C61-9A69-A44559B0817D,R10,,,,,2024-04-15 18:59:18+00:00,133232.581886745,2660.08682590939
5712,B2676DD6-4258-42EE-8409-DF2FE6F3F103,R10,,,,,2024-04-15 18:59:18+00:00,4466.82825813,277.137252092161
5713,317E6E2C-F456-4674-8443-4C8C8A023C52,R10,,,,,2024-04-15 18:59:18+00:00,53145.7620215,1283.1582073912
5714,35FE7BFE-41D7-45EF-8885-901085CB9ECB,R10,,,,,2024-04-15 18:59:18+00:00,68841.38695808,1367.10235742649
5715,EB3652A5-6BC5-4D8A-9ED1-535D8284B0CD,R10,,,,,2024-04-15 18:59:18+00:00,15696.872363725,505.584613656313
5716,9F03EFE3-7CB3-431F-959F-EE95F2A4A77F,R10,,,,,2024-04-15 18:59:18+00:00,48010.079734165,1360.51503077583
5717,7C5E0DD2-EE6F-4A0A-A9B1-8F5DD7C59919,R10,,,,,2024-04-15 18:59:18+00:00,21504.70941332,867.70899554265
5718,564E71D4-4E2E-456C-B790-317DF1EF1C0D,R10,,,,,2024-04-15 18:59:18+00:00,13949.44848185,477.531168436944
5719,E3E3A67B-9897-42FA-B29B-89A61C8F3747,R10,,,Shore Drive Corridor Overlay District,,2024-04-15 18:59:18+00:00,19674.100409635,645.976499592739
5720,34324049-A0C0-46BC-BC6A-AA830EA0F60C,R5D,,,,,2024-04-23 23:34:27+00:00,21784.92368998,655.935574405075
5721,BDBDAE1C-80FB-4148-8368-8212C1F1A499,R5D,,,,,2024-04-15 18:59:18+00:00,12292.39215436,451.955703902869
5722,50916A3C-7D24-4813-87E3-DB7D2892B2C5,R5D,,,,,2024-04-15 18:59:18+00:00,11713.840736175,457.318310743262
5723,16AFE5D7-F12F-4E9D-9BB1-9515DEA5C61D,R5D,,,,,2024-04-15 18:59:18+00:00,18952.378518615,686.562578822583
5724,0109369B-BFDD-418D-8132-AF3674D0EE43,RT3,,,,,2024-04-15 18:59:18+00:00,1494.561290735,182.046425219013
